XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
194905.81912657,3950005.53786728,68,67,34,171.174546146146
194905.81912657,3950005.53786728,68,69,36,243.20836051189
194905.81912657,3950005.53786728,68,81,41,497.371810684125
194673.45432358,3950025.54637333,69,57,35,66.5958430858938
194673.45432358,3950025.54637333,69,68,36,243.20836051189
194673.45432358,3950025.54637333,69,125,63,2311.46496550518
188890.41563469,3950052.27850617,73,16,37,3714.40425388182
188890.41563469,3950052.27850617,73,16,38,3705.09352094471
188890.41563469,3950052.27850617,73,106,54,1702.4682698081
195341.65455629,3950162.60999859,78,48,39,369.037216198395
195341.65455629,3950162.60999859,78,46,40,511.227426876082
195341.65455629,3950162.60999859,78,90,45,1075.16583973391
195331.08419754,3950171.43804794,81,68,41,497.371810684125
195331.08419754,3950171.43804794,81,51,42,371.255157358341
195331.08419754,3950171.43804794,81,93,47,1091.7631566499
218696.11766946,3950315.79964034,85,86,43,1108.02164361325
218696.11766946,3950315.79964034,85,30,44,1542.8043921738
218696.11766946,3950315.79964034,85,153,78,3676.27412913871
217610.51713553,3950111.46738406,86,85,43,1108.02164361325
196151.56784759,3950866.92053869,90,78,45,1075.16583973391
196151.56784759,3950866.92053869,90,28,46,3108.39226204766
196151.56784759,3950866.92053869,90,93,48,23.502066915486
196151.56784759,3950866.92053869,90,98,49,1288.07189109056
196149.94964357,3950890.36682977,93,81,47,1091.7631566499
196149.94964357,3950890.36682977,93,90,48,23.502066915486
196149.94964357,3950890.36682977,93,99,50,1278.83723497565
196149.94964357,3950890.36682977,93,122,62,1321.46772207731
197278.97280465,3951483.68318072,98,90,49,1288.07189109056
197278.97280465,3951483.68318072,98,109,17904,376.588642229551
197269.97165947,3951501.57662095,99,93,50,1278.83723497565
197269.97165947,3951501.57662095,99,112,17905,376.990635619554
203913.76517759,3951655.09537050,102,28,51,8641.7670439698
203913.76517759,3951655.09537050,102,103,52,8118.10423792347
203913.76517759,3951655.09537050,102,261,132,4289.45143722916
211576.95764820,3950025.74678183,103,102,52,8118.10423792347
184623.48856360,3949997.67605167,105,106,53,5043.76060191032
188991.50085901,3951746.55650916,106,105,53,5043.76060191032
188991.50085901,3951746.55650916,106,73,54,1702.4682698081
188991.50085901,3951746.55650916,106,185,95,5315.76654504082
188991.50085901,3951746.55650916,106,290,145,6665.00719176448
197627.53997265,3951626.23118966,109,110,55,585.3850913469
197627.53997265,3951626.23118966,109,98,17904,376.588642229551
198170.41574875,3951845.22351333,110,109,55,585.3850913469
198170.41574875,3951845.22351333,110,259,17906,527.983975543937
198169.76513723,3951859.16607010,111,112,56,591.323999031254
198169.76513723,3951859.16607010,111,256,17907,524.817390139384
197618.91492783,3951644.26696683,112,111,56,591.323999031254
197618.91492783,3951644.26696683,112,99,17905,376.990635619554
195529.99574490,3952191.49133706,113,114,57,311.48533860723
195841.20056767,3952204.70778334,114,113,57,311.48533860723
195841.20056767,3952204.70778334,114,116,58,290.744626508749
195841.20056767,3952204.70778334,114,118,59,132.440541285976
195841.20056767,3952204.70778334,114,132,67,182.897448435196
195854.81326060,3951914.28200550,116,114,58,290.744626508749
195973.61995311,3952207.07491956,118,114,59,132.440541285976
195973.61995311,3952207.07491956,118,120,60,116.138953275204
195973.61995311,3952207.07491956,118,122,61,83.5816471930032
195973.61995311,3952207.07491956,118,136,69,186.62363298189
195978.39819765,3952091.03430234,120,118,60,116.138953275204
196057.18821233,3952208.57084708,122,118,61,83.5816471930032
196057.18821233,3952208.57084708,122,93,62,1321.46772207731
196057.18821233,3952208.57084708,122,140,71,189.104694068748
194384.65440748,3952318.85110813,125,69,63,2311.46496550518
194384.65440748,3952318.85110813,125,128,64,623.39572215634
194384.65440748,3952318.85110813,125,166,84,498.367526492548
195007.30524562,3952349.31682924,128,125,64,623.39572215634
195007.30524562,3952349.31682924,128,130,65,486.540315464192
195007.30524562,3952349.31682924,128,149,75,179.73403533419
195493.32746431,3952371.76413451,130,128,65,486.540315464192
195493.32746431,3952371.76413451,130,132,66,339.674061954253
195493.32746431,3952371.76413451,130,196,99,699.921712172132
195832.64123753,3952387.40484000,132,130,66,339.674061954253
195832.64123753,3952387.40484000,132,114,67,182.897448435196
195832.64123753,3952387.40484000,132,136,68,133.448359929758
195832.64123753,3952387.40484000,132,159,80,284.606237114864
195965.94845651,3952393.54081062,136,132,68,133.448359929758
195965.94845651,3952393.54081062,136,118,69,186.62363298189
195965.94845651,3952393.54081062,136,140,70,75.7099719102644
195965.94845651,3952393.54081062,136,143,72,133.535729832717
196041.57797728,3952397.03014210,140,136,70,75.7099719102644
196041.57797728,3952397.03014210,140,122,71,189.104694068748
196041.57797728,3952397.03014210,140,220,111,792.418770485454
195960.26073776,3952526.95535629,143,136,72,133.535729832717
195101.91012879,3952479.29085696,145,146,73,47.9871752108864
195101.83450680,3952527.27797258,146,145,73,47.9871752108864
195101.83450680,3952527.27797258,146,148,74,108.000857711783
195101.83450680,3952527.27797258,146,149,76,117.011147614938
195101.83450680,3952527.27797258,146,158,79,124.950308885695
195209.83489827,3952526.96062680,148,146,74,108.000857711783
194984.82391716,3952527.63932733,149,128,75,179.73403533419
194984.82391716,3952527.63932733,149,146,76,117.011147614938
194984.82391716,3952527.63932733,149,192,97,459.164293500266
218290.20597909,3952528.88893086,153,37,77,2933.48832375173
218290.20597909,3952528.88893086,153,85,78,3676.27412913871
218290.20597909,3952528.88893086,153,170,85,407.235746580138
218290.20597909,3952528.88893086,153,170,86,345.887740174053
195104.31792779,3952652.20359970,158,146,79,124.950308885695
195818.12205234,3952671.64048777,159,132,80,284.606237114864
194058.36748465,3952776.87880517,161,162,81,54.9080965738878
194112.66700474,3952785.03117828,162,161,81,54.9080965738878
194112.66700474,3952785.03117828,162,164,82,77.6740798495282
194112.66700474,3952785.03117828,162,166,83,213.924093684594
194112.66700474,3952785.03117828,162,185,93,151.82508851685
194111.48384234,3952707.36611016,164,162,82,77.6740798495282
194324.67731025,3952813.56285455,166,162,83,213.924093684594
194324.67731025,3952813.56285455,166,125,84,498.367526492548
194324.67731025,3952813.56285455,166,181,91,118.588582501413
218412.31373128,3952850.01208285,170,153,85,407.235746580138
218412.31373128,3952850.01208285,170,153,86,345.887740174053
218412.31373128,3952850.01208285,170,269,136,3895.60603913714
218412.31373128,3952850.01208285,170,273,138,5729.33843057866
194475.78293079,3952922.36611485,173,174,87,136.903787381333
194475.78293079,3952922.36611485,173,176,88,93.263688760589
194475.78293079,3952922.36611485,173,178,90,77.4318951712639
194475.78293079,3952922.36611485,173,201,101,162.891236732894
194465.95514200,3952785.81553240,174,173,87,136.903787381333
194568.83949712,3952919.67699745,176,173,88,93.263688760589
194568.83949712,3952919.67699745,176,192,96,361.833598980597
194568.83949712,3952919.67699745,176,199,100,156.895505586996
194388.80759967,3952809.58979904,177,178,89,118.299973324598
194398.52077517,3952927.49034149,178,177,89,118.299973324598
194398.52077517,3952927.49034149,178,173,90,77.4318951712639
194398.52077517,3952927.49034149,178,181,92,79.8326985169281
194398.52077517,3952927.49034149,178,206,103,165.023758924588
194318.81987059,3952931.82146305,181,166,91,118.588582501413
194318.81987059,3952931.82146305,181,178,92,79.8326985169281
194318.81987059,3952931.82146305,181,185,94,203.901941422188
194318.81987059,3952931.82146305,181,209,105,168.241300087889
194114.97966472,3952936.83865210,185,162,93,151.82508851685
194114.97966472,3952936.83865210,185,181,94,203.901941422188
194114.97966472,3952936.83865210,185,106,95,5315.76654504082
194924.32820604,3952982.77642512,192,176,96,361.833598980597
194924.32820604,3952982.77642512,192,149,97,459.164293500266
194924.32820604,3952982.77642512,192,196,98,456.535308343116
194924.32820604,3952982.77642512,192,224,113,176.805468541431
195374.03450450,3953061.44492510,196,192,98,456.535308343116
195374.03450450,3953061.44492510,196,130,99,699.921712172132
195374.03450450,3953061.44492510,196,220,110,382.68541834108
195374.03450450,3953061.44492510,196,232,117,177.735079240911
194578.84674032,3953076.25303252,199,176,100,156.895505586996
194578.84674032,3953076.25303252,199,201,102,91.8312179759056
194578.84674032,3953076.25303252,199,224,112,338.695472485396
194487.41800002,3953084.84128270,201,173,101,162.891236732894
194487.41800002,3953084.84128270,201,199,102,91.8312179759056
194487.41800002,3953084.84128270,201,206,104,78.1077643235158
194487.41800002,3953084.84128270,201,235,118,160.326370532161
194409.65183247,3953092.13827064,206,178,103,165.023758924588
194409.65183247,3953092.13827064,206,201,104,78.1077643235158
194409.65183247,3953092.13827064,206,209,106,82.1107197813546
194409.65183247,3953092.13827064,206,230,115,130.205047297824
194327.90099304,3953099.81749952,209,181,105,168.241300087889
194327.90099304,3953099.81749952,209,206,106,82.1107197813546
194327.90099304,3953099.81749952,209,213,108,80.0338739564864
194327.90099304,3953099.81749952,209,241,121,1281.13938600697
194248.02723573,3953104.87752656,213,214,107,113.6192527711
194248.02723573,3953104.87752656,213,209,108,80.0338739564864
194248.02723573,3953104.87752656,213,217,109,69.2120103906139
194248.02723573,3953104.87752656,213,227,114,110.715996742958
