XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
338717.05533435,4289182.46067201,158,142,79,86.2431763725435
338999.43234888,4289194.06083966,159,160,80,175.17278335482
338999.43234888,4289194.06083966,159,128,81,160.25905208247
338999.43234888,4289194.06083966,159,166,84,76.9298431913
338962.61275294,4289045.75602850,160,159,80,175.17278335482
338965.31739711,4289249.39745403,164,146,82,178.523443615665
338965.31739711,4289249.39745403,164,166,83,14.3741998422924
338965.31739711,4289249.39745403,164,177,90,107.011019857635
338976.00756707,4289259.00671453,166,164,83,14.3741998422924
338976.00756707,4289259.00671453,166,159,84,76.9298431913
338976.00756707,4289259.00671453,166,170,85,68.711127765037
339021.16795293,4289309.47476448,170,166,85,68.711127765037
339021.16795293,4289309.47476448,170,174,87,54.3319143547363
339021.16795293,4289309.47476448,170,206,103,292.26332534139
337991.89076422,4289311.15101390,172,140,86,236.356898919285
337991.89076422,4289311.15101390,172,151,93,357.541865650051
337991.89076422,4289311.15101390,172,187,96,638.003088701438
339075.06755457,4289314.84586412,174,170,87,54.3319143547363
339075.06755457,4289314.84586412,174,128,88,348.851703428634
339075.06755457,4289314.84586412,174,206,104,527.185142126958
338904.99980124,4289317.45527845,177,178,89,58.0453881700019
338904.99980124,4289317.45527845,177,164,90,107.011019857635
338904.99980124,4289317.45527845,177,190,95,93.0395568072866
338853.82093081,4289290.58030710,178,177,89,58.0453881700019
344048.66272514,4289349.64898086,181,182,91,1050.62146230927
344048.66272514,4289349.64898086,181,184,92,383.548686464114
344048.66272514,4289349.64898086,181,199,100,192.196697979464
343783.68444043,4288470.02353984,182,181,91,1050.62146230927
344164.18681352,4289116.61770158,184,181,92,383.548686464114
338533.01893268,4289386.85958762,187,188,94,394.932207763081
338533.01893268,4289386.85958762,187,172,96,638.003088701438
338533.01893268,4289386.85958762,187,203,102,553.174391910058
338504.73713753,4289099.66905616,188,187,94,394.932207763081
338897.46486987,4289388.50800059,190,177,95,93.0395568072866
340808.75774063,4289408.01818690,193,194,97,80.0859783809661
340808.75774063,4289408.01818690,193,201,101,510.313465259229
340808.75774063,4289408.01818690,193,244,122,853.42903541934
340886.79286889,4289423.38795470,194,193,97,80.0859783809661
339868.55763277,4289518.89401362,195,196,98,125.77148675984
339868.55763277,4289518.89401362,195,198,99,57.7280151767677
339868.55763277,4289518.89401362,195,222,112,372.199979962046
339885.51784338,4289404.19826835,196,195,98,125.77148675984
339888.50993505,4289464.72364007,198,195,99,57.7280151767677
