XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
395175.62567095,4964481.59259303,121,122,61,4408.33674188456
394260.92477521,4968283.38042288,122,121,61,4408.33674188456
384879.60472174,4968539.09530709,123,124,62,7633.2248059143
384879.60472174,4968539.09530709,123,125,63,10674.0522884797
384879.60472174,4968539.09530709,123,188,94,6885.610663287
380580.28782193,4962896.88799961,124,123,62,7633.2248059143
387769.96302239,4959383.30099994,125,123,63,10674.0522884797
464099.75180365,4970405.39758602,128,102,64,11908.5590566012
464099.75180365,4970405.39758602,128,131,13973,128.12305025125
464090.43651048,4970410.27099763,129,102,65,11908.4100872713
464090.43651048,4970410.27099763,129,136,13974,127.880583949752
464158.17430740,4970519.42533291,131,132,66,61.7276603148751
464158.17430740,4970519.42533291,131,128,13973,128.12305025125
464185.64167622,4970574.70505522,132,131,66,61.7276603148751
464185.64167622,4970574.70505522,132,133,67,1252.37561433616
464185.64167622,4970574.70505522,132,135,69,10.0147909103288
464185.64167622,4970574.70505522,132,170,85,3233.78008762114
465261.27628545,4970031.66320909,133,132,67,1252.37561433616
464176.71961262,4970579.25399115,135,136,68,61.8617074939177
464176.71961262,4970579.25399115,135,132,69,10.0147909103288
464176.71961262,4970579.25399115,135,140,70,859.74382855992
464176.71961262,4970579.25399115,135,171,86,3230.85754926126
464149.19622316,4970523.85242180,136,135,68,61.8617074939177
464149.19622316,4970523.85242180,136,129,13974,127.880583949752
463802.63548380,4971031.74219526,140,135,70,859.74382855992
463802.63548380,4971031.74219526,140,142,72,56.4329154859611
463802.63548380,4971031.74219526,140,146,73,78.5174987001508
463103.05935035,4970477.49807842,141,142,71,934.58951114042
463760.91679859,4971069.29262951,142,141,71,934.58951114042
463760.91679859,4971069.29262951,142,140,72,56.4329154859611
463760.91679859,4971069.29262951,142,146,74,110.341723984162
463760.91679859,4971069.29262951,142,150,76,285.25592151602
463846.54605916,4971095.71481019,146,140,73,78.5174987001508
463846.54605916,4971095.71481019,146,142,74,110.341723984162
463846.54605916,4971095.71481019,146,150,75,122.003807442549
463889.74571872,4971208.85962239,150,146,75,122.003807442549
463889.74571872,4971208.85962239,150,142,76,285.25592151602
463889.74571872,4971208.85962239,150,154,77,268.613099617357
463883.01121572,4971475.31075263,154,150,77,268.613099617357
463883.01121572,4971475.31075263,154,156,78,441.065449022098
464244.90966251,4971521.78302179,156,154,78,441.065449022098
351822.03484188,4971669.33807405,157,158,79,700.162878836105
351822.03484188,4971669.33807405,157,158,80,615.906200361459
351822.03484188,4971669.33807405,157,304,153,4633.55676887332
352210.46093712,4972093.17845804,158,157,79,700.162878836105
352210.46093712,4972093.17845804,158,157,80,615.906200361459
352210.46093712,4972093.17845804,158,163,82,2697.59439171099
374343.48775291,4972373.95813548,161,162,81,1888.62665037793
374878.50210299,4970606.42823390,162,161,81,1888.62665037793
354717.16474655,4972890.82031524,163,158,82,2697.59439171099
354717.16474655,4972890.82031524,163,166,83,14750.4767667576
354717.16474655,4972890.82031524,163,224,113,727.29463207149
357589.23033752,4958910.15366448,166,163,83,14750.4767667576
357589.23033752,4958910.15366448,166,63,13970,314.015878453923
473805.61780553,4973104.32932936,167,168,84,5864.39440717635
475536.98461204,4967612.90982340,168,167,84,5864.39440717635
465998.15671407,4973133.34669410,170,132,85,3233.78008762114
465998.15671407,4973133.34669410,170,171,87,10.022210658992
465998.15671407,4973133.34669410,170,182,91,119.863105197659
465988.29884759,4973135.15422698,171,135,86,3230.85754926126
465988.29884759,4973135.15422698,171,170,87,10.022210658992
465988.29884759,4973135.15422698,171,176,89,388.995726837423
465988.29884759,4973135.15422698,171,183,92,120.859803775989
465519.75178140,4972860.82575913,175,176,88,344.267872812143
465603.89767562,4973194.65069097,176,175,88,344.267872812143
465603.89767562,4973194.65069097,176,171,89,388.995726837423
465603.89767562,4973194.65069097,176,179,90,165.219191025982
465603.89767562,4973194.65069097,176,194,97,129.670681611993
465440.04666605,4973214.18438908,179,176,90,165.219191025982
466014.57457851,4973252.08008331,182,170,91,119.863105197659
466014.57457851,4973252.08008331,182,183,93,10.1199153226106
466014.57457851,4973252.08008331,182,203,103,186.723664343602
